,編號,案類,發生日期,發生時段,發生地點,tokenizer,time_zone
0,1,住宅竊盜,1030623,08~10,臺北市中正區廈門街91~120號,['臺  北市  中正  區廈  門街  91  ~  120  號'],morning
3,4,住宅竊盜,1040101,06~08,臺北市中山區新生北路1段91~120號,['臺  北市  中山  區  新生北路  1  段  91  ~  120  號'],morning
4,5,住宅竊盜,1040101,10~12,臺北市文山區明興里興隆路4段1~30號,['臺  北市  文山  區明  興里  興隆路  4  段  1  ~  30  號'],morning
6,7,住宅竊盜,1040102,06~08,臺北市萬華區糖?里大理街159巷1~30號,['臺  北市  萬華區  糖  ?  里  大理  街  159  巷  1  ~  30  號'],morning
7,8,住宅竊盜,1040102,06~08,臺北市萬華區糖?里大理街159巷1~30號,['臺  北市  萬華區  糖  ?  里  大理  街  159  巷  1  ~  30  號'],morning
8,9,住宅竊盜,1040102,10~12,臺北市中山區吉林路121~150號,['臺  北市  中山  區  吉林路  121  ~  150  號'],morning
9,10,住宅竊盜,1040104,10~12,臺北市信義區五常里永吉路225巷32弄1~30號,['臺  北市  信義區  五常  里  永吉  路  225  巷  32  弄  1  ~  30  號'],morning
20,21,住宅竊盜,1040108,08~10,臺北市文山區萬美里萬美街1段61~90號,['臺  北市  文山  區萬美里  萬美街  1  段  61  ~  90  號'],morning
21,22,住宅竊盜,1040109,10~12,臺北市內湖區港華里港華街1~30號,['臺  北市  內  湖區  港華里  港華街  1  ~  30  號'],morning
25,26,住宅竊盜,1040111,08~10,臺北市萬華區萬大路387巷1~30號,['臺  北市  萬華區  萬  大路  387  巷  1  ~  30  號'],morning
26,27,住宅竊盜,1040112,08~10,臺北市大安區龍雲里4鄰大安路2段132巷1~30號,['臺  北市  大安  區龍雲里  4  鄰  大安  路  2  段  132  巷  1  ~  30  號'],morning
29,30,住宅竊盜,1040113,10~12,臺北市萬華區青年路31~60號,['臺  北市  萬華區  青年  路  31  ~  60  號'],morning
30,31,住宅竊盜,1040114,08~10,臺北市松山區富錦街572巷1~30號,['臺  北市  松山  區富  錦街  572  巷  1  ~  30  號'],morning
33,34,住宅竊盜,1040115,06~08,臺北市南港區舊莊街1段290巷1弄1~30號,['臺  北市  南港  區舊  莊街  1  段  290  巷  1  弄  1  ~  30  號'],morning
34,35,住宅竊盜,1040115,06~08,臺北市南港區九如里研究院路3段18巷1~30號,['臺  北市  南港  區九如里  研究院  路  3  段  18  巷  1  ~  30  號'],morning
35,36,住宅竊盜,1040115,10~12,臺北市內湖區民權東路6段296巷91~120號,['臺  北市  內  湖區民權  東路  6  段  296  巷  91  ~  120  號'],morning
37,38,住宅竊盜,1040116,10~12,臺北市松山區敦化南路2段31~60號,['臺  北市  松山  區  敦化南路  2  段  31  ~  60  號'],morning
38,39,住宅竊盜,1040117,08~10,臺北市信義區國業里松德路25巷31~60號,['臺  北市  信義區  國業里  松德路  25  巷  31  ~  60  號'],morning
43,44,住宅竊盜,1040118,06~08,臺北市萬華區西園路2段320巷61~90號,['臺  北市  萬華區  西園  路  2  段  320  巷  61  ~  90  號'],morning
44,45,住宅竊盜,1040118,10~12,臺北市大安區通化里通化街19巷1~30號,['臺  北市  大安  區  通化  里  通化街  19  巷  1  ~  30  號'],morning
46,47,住宅竊盜,1040119,06~08,臺北市大同區蓬萊里昌吉街50巷1~30號,['臺  北市  大同  區蓬萊里  昌吉  街  50  巷  1  ~  30  號'],morning
48,49,住宅竊盜,1040121,08~10,臺北市萬華區柳鄉里1鄰桂林路242巷6弄1~30號,['臺  北市  萬華區  柳鄉  里  1  鄰  桂林  路  242  巷  6  弄  1  ~  30  號'],morning
52,53,住宅竊盜,1040122,10~12,臺北市大同區揚雅里承德路3段90巷1~30號,['臺  北市  大同  區揚雅里  承德路  3  段  90  巷  1  ~  30  號'],morning
57,58,住宅竊盜,1040124,10~12,臺北市萬華區梧州街60巷1~30號,['臺  北市  萬華區  梧州  街  60  巷  1  ~  30  號'],morning
59,60,住宅竊盜,1040126,08~10,臺北市大同區酒泉街103巷1~30號,['臺  北市  大同  區  酒泉街  103  巷  1  ~  30  號'],morning
63,64,住宅竊盜,1040127,06~08,臺北市中山區民生東路3段9巷1~30號,['臺  北市  中山  區  民生  東路  3  段  9  巷  1  ~  30  號'],morning
64,65,住宅竊盜,1040127,10~12,臺北市文山區景興路238巷1~30號,['臺  北市  文山  區景興路  238  巷  1  ~  30  號'],morning
65,66,住宅竊盜,1040127,10~12,臺北市文山區景興路238巷1~30號,['臺  北市  文山  區景興路  238  巷  1  ~  30  號'],morning
75,76,住宅竊盜,1040201,10~12,臺北市松山區敦化北路199巷100弄1~30號,['臺  北市  松山  區  敦化北路  199  巷  100  弄  1  ~  30  號'],morning
76,77,住宅竊盜,1040201,10~12,臺北市北投區雙全街62巷1~30號,['臺  北  市北  投區  雙全  街  62  巷  1  ~  30  號'],morning
78,79,住宅竊盜,1040202,08~10,臺北市中正區網溪里廈門街91~120號,['臺  北市  中正  區網  溪里  廈門  街  91  ~  120  號'],morning
85,86,住宅竊盜,1040206,08~10,臺北市中山區合江街20巷1~30號,['臺  北市  中山  區  合江  街  20  巷  1  ~  30  號'],morning
92,93,住宅竊盜,1040210,10~12,臺北市士林區福志里志成路22巷15弄1~30號,['臺  北市  士林  區福志里  志成  路  22  巷  15  弄  1  ~  30  號'],morning
99,100,住宅竊盜,1040213,08~10,臺北市中山區農安街1~30號,['臺  北市  中山  區農安街  1  ~  30  號'],morning
100,101,住宅竊盜,1040214,08~10,臺北市士林區明勝里承德路4段12巷61~90號,['臺  北市  士林  區明  勝里  承德路  4  段  12  巷  61  ~  90  號'],morning
101,102,住宅竊盜,1040215,08~10,臺北市中山區長安東路2段1~30號,['臺  北市  中山  區長  安東路  2  段  1  ~  30  號'],morning
102,103,住宅竊盜,1040215,08~10,臺北市大安區法治里通化街173巷1~30號,['臺  北市  大安  區  法治  里  通化街  173  巷  1  ~  30  號'],morning
111,112,住宅竊盜,1040218,06~08,臺北市大同區民權里民權西路160巷30弄1~30號,['臺  北市  大同  區民權  里民權  西路  160  巷  30  弄  1  ~  30  號'],morning
116,117,住宅竊盜,1040220,06~08,臺北市北投區文林里致遠一路1段31~60號,['臺  北  市北  投區文  林里  致遠  一路  1  段  31  ~  60  號'],morning
127,128,住宅竊盜,1040225,08~10,臺北市士林區聖山里忠誠路1段147巷1~30號,['臺  北市  士林  區聖  山里  忠誠路  1  段  147  巷  1  ~  30  號'],morning
128,129,住宅竊盜,1040225,10~12,臺北市南港區舊莊里舊莊街1段145巷6弄1~30號,['臺  北市  南港  區舊  莊里  舊  莊街  1  段  145  巷  6  弄  1  ~  30  號'],morning
134,135,住宅竊盜,1040227,10~12,臺北市北投區中央里大興街24巷7弄1~30號,['臺  北  市北  投區  中央  里  大興街  24  巷  7  弄  1  ~  30  號'],morning
137,138,住宅竊盜,1040302,08~10,臺北市松山區八德路4段106巷6弄1~30號,['臺  北市  松山  區  八德  路  4  段  106  巷  6  弄  1  ~  30  號'],morning
154,155,住宅竊盜,1040311,08~10,臺北市中山區新生北路22段58巷1~30號,['臺  北市  中山  區  新生北路  22  段  58  巷  1  ~  30  號'],morning
156,157,住宅竊盜,1040312,10~12,臺北市大同區至聖里大龍街259巷10弄1~30號,['臺  北市  大同  區至  聖里  大龍街  259  巷  10  弄  1  ~  30  號'],morning
163,164,住宅竊盜,1040316,08~10,臺北市中正區螢雪里水源路151~180號,['臺  北市  中正  區螢  雪里  水源路  151  ~  180  號'],morning
171,172,住宅竊盜,1040324,06~08,臺北市北投區永明里石牌路2段97巷1~30號,['臺  北  市北  投區  永明  里  石牌路  2  段  97  巷  1  ~  30  號'],morning
172,173,住宅竊盜,1040324,08~10,臺北市松山區民權東路3段153巷3弄1~30號,['臺  北市  松山  區民權  東路  3  段  153  巷  3  弄  1  ~  30  號'],morning
173,174,住宅竊盜,1040324,10~12,臺北市萬華區東園街85巷4弄1~30號,['臺  北市  萬華區  東園  街  85  巷  4  弄  1  ~  30  號'],morning
180,181,住宅竊盜,1040328,10~12,臺北市中山區民權東路3段1~30號,['臺  北市  中山  區民權  東路  3  段  1  ~  30  號'],morning
181,182,住宅竊盜,1040329,08~10,臺北市松山區南京東路5段31~60號,['臺  北市  松山  區  南京  東路  5  段  31  ~  60  號'],morning
182,183,住宅竊盜,1040330,08~10,臺北市中山區松江路332､334號,['臺  北市  中山  區  松江  路  332  ､  334  號'],morning
183,184,住宅竊盜,1040330,10~12,臺北市士林區平等里平菁街105巷1~30號,['臺  北市  士林  區  平等  里  平菁  街  105  巷  1  ~  30  號'],morning
185,186,住宅竊盜,1040331,08~10,臺北市內湖區金瑞里金龍路1~30號,['臺  北市  內  湖區  金瑞里  金龍路  1  ~  30  號'],morning
197,198,住宅竊盜,1040407,10~12,臺北市中山區大直街84巷1~30號,['臺  北市  中山  區大直  街  84  巷  1  ~  30  號'],morning
198,199,住宅竊盜,1040407,10~12,臺北市內湖區紫陽里文德路22巷59弄1~30號,['臺  北市  內  湖區  紫陽里  文德路  22  巷  59  弄  1  ~  30  號'],morning
200,201,住宅竊盜,1040409,10~12,臺北市中山區農安街1~30號,['臺  北市  中山  區農安街  1  ~  30  號'],morning
201,202,住宅竊盜,1040410,06~08,臺北市北投區吉利里23鄰吉利街320巷1弄1~30號,['臺  北  市北  投區  吉利  里  23  鄰  吉利  街  320  巷  1  弄  1  ~  30  號'],morning
204,205,住宅竊盜,1040411,10~12,臺北市內湖區內湖路1段359巷1~30號,['臺  北市  內  湖區  內  湖路  1  段  359  巷  1  ~  30  號'],morning
205,206,住宅竊盜,1040413,10~12,臺北市北投區智仁里杏林二路28巷1~30號,['臺  北  市北  投區  智仁里  杏林  二路  28  巷  1  ~  30  號'],morning
209,210,住宅竊盜,1040415,08~10,臺北市松山區民生東路4段55巷1~30號,['臺  北市  松山  區  民生  東路  4  段  55  巷  1  ~  30  號'],morning
211,212,住宅竊盜,1040416,06~08,臺北市文山區萬和里1鄰溪州街137巷61~90號,['臺  北市  文山  區萬  和  里  1  鄰  溪州  街  137  巷  61  ~  90  號'],morning
212,213,住宅竊盜,1040416,06~08,臺北市士林區三玉里忠誠路2段41巷1~30號,['臺  北市  士林  區三玉里  忠誠路  2  段  41  巷  1  ~  30  號'],morning
227,228,住宅竊盜,1040423,08~10,臺北市松山區南京東路5段211~240號,['臺  北市  松山  區  南京  東路  5  段  211  ~  240  號'],morning
